Metropolitan Cities,2019 - CR,2020 - CR,2021 - CR,2019 - Persons Arrested,2020 - Persons Arrested,2021 - Persons Arrested
Bengaluru,10555,8892,6423,289,245,296
Mumbai,2527,2433,2883,573,450,860
Hyderabad,1379,2553,3303,221,301,313
Lucknow,1262,1465,1067,0,322,1262
Jaipur,544,192,254,134,70,121
Varanasi,448,487,420,521,135,201
Vishakhapatnam,400,361,323,63,29,7
Kanpur,365,300,449,249,355,502
Allahabad,354,634,533,45,67,141
Ghaziabad,347,756,451,50,56,75
Pune,309,238,225,172,70,124
Vijayawada,240,176,133,23,35,26
Surat,228,204,296,123,235,213
Patna,202,312,304,219,211,380
Ranchi,183,170,87,12,38,3
Jodhpur,179,141,151,25,27,85
Ahmedabad,171,421,447,482,167,471
Kolkata,160,172,220,41,18,84
Nagpur,119,243,192,57,39,85
Chennai,118,186,76,44,42,31
Delhi City,107,166,345,145,102,491
Dhanbad,101,41,61,25,41,47
Agra,100,0,0,34,0,0
Meerut,99,116,101,87,112,63
Nasik,79,103,42,11,0,16
Aurangabad,77,74,80,64,35,63
Thiruvananthapuram,75,107,91,33,33,38
Jamshedpur,75,59,67,24,29,34
Gwalior,47,74,60,34,24,60
Faridabad,47,39,47,38,31,61
Kochi,43,62,62,22,41,58
Indore,41,46,37,43,63,85
Ludhiana,37,36,27,34,53,66
Kota,32,21,35,26,29,43
Vasai Virar,29,44,67,31,46,45
Raipur,23,55,66,18,48,52
Chandigarh City,23,17,15,14,4,9
Bhopal,22,9,6,21,15,6
Kozhikode,15,12,37,11,10,17
Tiruchirapalli,14,24,20,32,40,15
Vadodara,12,57,54,10,66,96
Asansol,12,25,21,5,16,11
Rajkot,12,18,31,18,26,54
Amritsar,11,47,92,14,12,83
Thrissur,11,14,51,42,19,93
Kollam,11,9,29,7,7,11
Coimbatore,8,4,44,22,0,17
Durg-Bhilainagar,6,21,16,11,20,12
Madurai,4,14,25,3,2,1
Kannur,4,10,25,6,9,19
Srinagar,4,2,4,8,2,2
Malappuram,3,11,24,4,11,12
Jabalpur,0,0,0,0,0,0
